ID	instant_temp	total_energy	total_potential	lambda	binding_energy
70	2.17442e+02	-1.08245e+04	-1.33579e+04	1.00000e+00	-2.88436e+01
71	2.18705e+02	-1.08244e+04	-1.33725e+04	1.00000e+00	-2.99243e+01
72	2.16020e+02	-1.08241e+04	-1.33409e+04	1.00000e+00	-3.20380e+01
73	2.14864e+02	-1.08246e+04	-1.33280e+04	1.00000e+00	-3.22684e+01
74	2.10884e+02	-1.08241e+04	-1.32811e+04	1.00000e+00	-3.40872e+01
75	2.11147e+02	-1.08240e+04	-1.32840e+04	1.00000e+00	-3.15521e+01
76	2.15650e+02	-1.08242e+04	-1.33367e+04	1.00000e+00	-3.26936e+01
77	2.12516e+02	-1.08245e+04	-1.33005e+04	1.00000e+00	-3.42795e+01
78	2.13374e+02	-1.08245e+04	-1.33105e+04	1.00000e+00	-3.32695e+01
79	2.21852e+02	-1.08254e+04	-1.34102e+04	1.00000e+00	-2.83061e+01
80	2.34109e+02	-1.03615e+04	-1.30891e+04	1.00000e+00	-3.11469e+01
81	2.34995e+02	-1.03615e+04	-1.30994e+04	1.00000e+00	-3.24943e+01
82	2.35500e+02	-1.03610e+04	-1.31048e+04	1.00000e+00	-2.31002e+01
83	2.33624e+02	-1.03609e+04	-1.30828e+04	1.00000e+00	-2.50618e+01
84	2.33891e+02	-1.03611e+04	-1.30862e+04	1.00000e+00	-2.51487e+01
85	2.36373e+02	-1.03603e+04	-1.31143e+04	1.00000e+00	-2.61697e+01
86	2.36913e+02	-1.03603e+04	-1.31205e+04	1.00000e+00	-3.08905e+01
87	2.35687e+02	-1.03604e+04	-1.31063e+04	1.00000e+00	-2.88534e+01
88	2.29852e+02	-1.03621e+04	-1.30401e+04	1.00000e+00	-3.33765e+01
89	2.37890e+02	-1.03609e+04	-1.31325e+04	1.00000e+00	-3.36440e+01
90	2.56826e+02	-9.88107e+03	-1.28733e+04	1.00000e+00	-3.39539e+01
91	2.56262e+02	-9.88009e+03	-1.28658e+04	1.00000e+00	-3.19024e+01
92	2.55434e+02	-9.87996e+03	-1.28560e+04	1.00000e+00	-3.37941e+01
93	2.51173e+02	-9.88102e+03	-1.28074e+04	1.00000e+00	-2.85430e+01
94	2.58154e+02	-9.88004e+03	-1.28878e+04	1.00000e+00	-2.77155e+01
95	2.54302e+02	-9.88061e+03	-1.28434e+04	1.00000e+00	-2.94214e+01
96	2.51960e+02	-9.88212e+03	-1.28177e+04	1.00000e+00	-3.07861e+01
97	2.53341e+02	-9.88187e+03	-1.28335e+04	1.00000e+00	-3.16631e+01
98	2.51730e+02	-9.88081e+03	-1.28137e+04	1.00000e+00	-2.79667e+01
99	2.64085e+02	-9.88237e+03	-1.29592e+04	1.00000e+00	-3.35087e+01
100	2.55594e+02	-9.81480e+03	-1.27927e+04	1.00000e+00	-3.20725e+01
101	2.58206e+02	-9.72795e+03	-1.27363e+04	1.00000e+00	-3.14678e+01
102	2.63219e+02	-9.66365e+03	-1.27304e+04	1.00000e+00	-3.39775e+01
103	2.67318e+02	-9.56390e+03	-1.26784e+04	1.00000e+00	-3.14653e+01
104	2.71134e+02	-9.49125e+03	-1.26502e+04	1.00000e+00	-2.96170e+01
105	2.73301e+02	-9.39061e+03	-1.25748e+04	1.00000e+00	-3.24175e+01
106	2.74077e+02	-9.34949e+03	-1.25427e+04	1.00000e+00	-2.97668e+01
107	2.80398e+02	-9.24498e+03	-1.25119e+04	1.00000e+00	-3.52141e+01
108	2.82834e+02	-9.19256e+03	-1.24878e+04	1.00000e+00	-3.63462e+01
109	2.83006e+02	-9.17444e+03	-1.24717e+04	1.00000e+00	-3.77578e+01
110	2.82556e+02	-9.16519e+03	-1.24572e+04	1.00000e+00	-3.25203e+01
111	2.89538e+02	-9.14949e+03	-1.25229e+04	1.00000e+00	-3.76837e+01
112	2.84857e+02	-9.12830e+03	-1.24471e+04	1.00000e+00	-3.61954e+01
113	2.91641e+02	-9.07007e+03	-1.24680e+04	1.00000e+00	-3.52422e+01
114	2.82162e+02	-9.04678e+03	-1.23342e+04	1.00000e+00	-3.49442e+01
115	2.92941e+02	-9.00626e+03	-1.24193e+04	1.00000e+00	-3.50715e+01
116	2.88219e+02	-9.03340e+03	-1.23914e+04	1.00000e+00	-3.66140e+01
117	2.94354e+02	-9.04348e+03	-1.24730e+04	1.00000e+00	-3.70035e+01
118	2.88409e+02	-9.05936e+03	-1.24196e+04	1.00000e+00	-3.66570e+01
119	2.89857e+02	-9.04512e+03	-1.24222e+04	1.00000e+00	-3.33453e+01
120	2.91858e+02	-9.06670e+03	-1.24671e+04	1.00000e+00	-2.86908e+01
121	2.87776e+02	-9.10121e+03	-1.24541e+04	1.00000e+00	-3.83698e+01
122	2.88373e+02	-9.06045e+03	-1.24203e+04	1.00000e+00	-3.58509e+01
